title,price,rating,reviews,brand,ram,storage,processor,windows,screen_size,color
"ASUS Vivobook Go 15 (2025), AMD Ryzen 5 7520U Thin & Light Laptop(AMD Radeon iGPU/16GB RAM/512GB SSD/FHD/15.6""/60Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.63Kg)E1504FA-NJ1505WS",41990.0,3.6,,ASUS,16GB,512GB SSD,Ryzen 5,Windows 11,15.6,Black
"ASUS TUF F16,14th Gen,Intel Core i7 14650HX,Gaming Laptop(RTX 5070-8GB/115W TGP/32GB/1TB /2.5K QHD+/16""/165Hz/90WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Jaeger Gray/2.2 Kg)FX688JPR-QT043WS",199990.0,4.4,,ASUS,,,i7,Windows 11,16,Gray
"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4,512GB SSD) FHD, Anti-Glare,Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver,1.59kg, fd0467tu, Iris Xe, FHD Camera w/Shutter, Backlit Laptop",54990.0,3.9,,HP,,512GB SSD,i5,Windows 11,15.6,Silver
"HP 15 255R G10, AMD Ryzen 5 7535U Hexa Core (6 Core, 12 Threads, 2.9 to Max 4.3 Ghz) (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Laptop(15.6 inch HD Display, Matt Silver, 1.45 kg",38990.0,4.5,,HP,,512 GB SSD,Ryzen 5,Windows 11,15.6,Silver
"HP Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, 300nits, IPS, FHD, 15.6""/39.6cm, Win11, M365* Office 24, Mica Silver, 2.29Kg, fa2308TX, RGB Gaming Laptop",119490.0,4.2,,HP,,1TB SSD,i7,Windows 11,15.6,Silver
"Lenovo IdeaPad Slim 3, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 15.6""(39.6cm), Windows 11, Office 2024, Grey, 1.6Kg, 82X700G5IN, Alexa Built-in, 1Yr ADP Free, 3 Month Game Pass Laptop",38490.0,3.8,,Lenovo,8GB,512GB SSD,i3,Windows 11,15.6,Grey
"Acer Aspire Lite, AMD Ryzen 7-7730U, 16 GB RAM, 512 GB SSD, Full HD IPS,15.6""/39.62 cm, Windows 11 Home, MS Office, Steel Gray, 1.59 KG, AL15-41, Thin and Light Laptop",46990.0,4.0,,Acer,16GB,512 GB SSD,Ryzen 7,Windows 11,15.6,Gray
"Dell 15, Intel Core 3, 14th Gen-100U, 8GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Win 11, Office H&S 2024, Carbon Black, 1.63Kg, Dell 15, Intel UHD Graphics, 120Hz 250 nit, Thin & Light, Laptop",39990.0,4.0,,Dell,,512GB SSD,,Windows 11,15.6,Black
"HP 14, Intel Core Ultra 7 155H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1181TU, FHD Camera, Backlit Laptop",83850.0,3.0,,HP,,1TB SSD,,Windows 11,14,Silver
"HP Omen, 14th Gen Intel Core i9-14900HX, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0279TX, RGB, Gaming Laptop",164490.0,3.6,,HP,,1TB SSD,i9,Windows 11,16,Black
"Dell 14, AMD Ryzen AI R7-350 Processor, 16GB LPDDR5X RAM, 1TBSSD, FHD Plus 14""/35.56cm, Win 11+Office H&S 2024, Ice Blue, 1.52Kg, 300Nits Display,AMD Radeon Graphics, Backlit+FPS KB, AI Powered Laptop",74490.0,3.7,,Dell,,1TBSSD,,Windows 11,14,Blue
"ASUS Vivobook S14,Smartchoice,AMD Ryzen AI 7 350,16GB RAM,1TB SSD,OLED, 14"",Windows 11, Office24, M365 Basic (1Yr)*,Cool Silver,1.4Kg,M3407KA-SF048WS,50Tops,Metallic Design,Next-Gen AI Laptop,Copilot+",83990.0,3.8,,ASUS,16GB,1TB SSD,,Windows 11,14,Silver
"Primebook 2 Pro 2025 (New Launch) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Aqua)",19990.0,4.4,,Primebook,8GB,,,,,
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",32999.0,3.9,,Lenovo,,512 GB SSD,,Windows 11,15.6,Silver
"acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",37990.0,4.0,,acer,16GB,512GB SSD,i3,Windows 11,15.6,Gray
"ASUS ROG Strix G16,Intel Core Ultra 9 275HX Gaming Laptop(RTX 5070 Ti -12GB/140W TGP/32GB/1TB/2.5K QHD+/16""/240Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.65 Kg) G615LR-S5190WS",275990.0,3.8,,ASUS,,,,Windows 11,16,Gray
"HP Victus, 13th Gen Intel Core i5-13420H, RTX 4050-6GB, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.6cm, 144Hz, Win11, Office24, Mica Silver, 2.29kg, fa2701TX, 300nits, Backlit Kb, HD Cam, Gaming Laptop",77526.0,4.0,,HP,,512GB SSD,i5,Windows 11,15.6,Silver
"HP 15 Laptop, AMD Ryzen 7 5825U [16GB DDR4,512GB SSD] [Win11, Office Home'2024/M365 Basic(1yr)*] [Anti-Glare,Micro-Edge,15.6''/39.6cm FHD]Silver,1.59kg [Backlit KB+FHD Camera+Radeon Graphics] fc0533AU",49990.0,3.9,,HP,,512GB SSD,Ryzen 7,Windows 11,15.6,Silver
